,precision,recall,f1-score,support
0,0.0,0.0,0.0,50.0
1,0.0,0.0,0.0,50.0
2,0.0,0.0,0.0,50.0
3,0.0,0.0,0.0,50.0
4,0.0,0.0,0.0,50.0
5,0.0,0.0,0.0,50.0
6,0.0,0.0,0.0,50.0
7,0.0,0.0,0.0,50.0
8,0.0,0.0,0.0,50.0
9,0.0,0.0,0.0,50.0
10,0.0,0.0,0.0,50.0
11,0.0,0.0,0.0,50.0
12,0.008,0.04,0.013,50.0
13,0.0,0.0,0.0,50.0
14,0.0,0.0,0.0,50.0
15,0.0,0.0,0.0,50.0
16,0.0,0.0,0.0,50.0
17,0.0,0.0,0.0,50.0
18,0.0,0.0,0.0,50.0
19,0.0,0.0,0.0,50.0
20,0.0,0.0,0.0,50.0
21,0.029,0.62,0.056,50.0
22,0.0,0.0,0.0,50.0
23,0.0,0.0,0.0,50.0
24,0.0,0.0,0.0,50.0
25,0.021,0.18,0.038,50.0
26,0.0,0.0,0.0,50.0
27,0.0,0.0,0.0,50.0
28,0.0,0.0,0.0,50.0
29,0.0,0.0,0.0,50.0
30,0.0,0.0,0.0,50.0
31,0.012,0.02,0.015,50.0
32,0.0,0.0,0.0,50.0
33,0.0,0.0,0.0,50.0
34,0.0,0.0,0.0,50.0
35,0.0,0.0,0.0,50.0
36,0.0,0.0,0.0,50.0
accuracy,0.023,0.023,0.023,0.023
macro avg,0.002,0.023,0.003,1850.0
weighted avg,0.002,0.023,0.003,1850.0
